YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Population,Latitude,Longitude,Centroid
2015,2015,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,,Number,382,382,,,,,Overall,Overall,,,,,,28,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.3,10.3,,,9.2,11.4,Overall,Overall,,,,,,28,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,12.8,12.8,,,11.5,14.1,Overall,Overall,,,,,,28,ALC,ALC6_0,CRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,11.6,11.6,,,10.4,12.8,Overall,Overall,,,,,,28,ALC,ALC6_0,CRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,,Number,437,437,,,,,Overall,Overall,,,,,,28,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2015,2015,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,12.8,12.8,,,11.5,14,Overall,Overall,,,,,,28,ALC,ALC6_0,CRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,,Number,327,327,,,,,Overall,Overall,,,,,,28,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2016,2016,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,,Number,383,383,,,,,Overall,Overall,,,,,,28,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2017,2017,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,14.6,14.6,,,13.3,16,Overall,Overall,,,,,,28,ALC,ALC6_0,CRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2013,2013,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,10.9,10.9,,,9.7,12.1,Overall,Overall,,,,,,28,ALC,ALC6_0,CRDRATE,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
2014,2014,MS,Mississippi,NVSS,Alcohol,Chronic liver disease mortality,,,Number,347,347,,,,,Overall,Overall,,,,,,28,ALC,ALC6_0,NMBR,OVERALL,OVR,,,,,2844658,32.566420,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}"
