Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2015,MS,Mississippi,Alcohol,Chronic liver disease mortality,382.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2014,MS,Mississippi,Alcohol,Chronic liver disease mortality,10.3,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2016,MS,Mississippi,Alcohol,Chronic liver disease mortality,12.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2014,MS,Mississippi,Alcohol,Chronic liver disease mortality,11.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2017,MS,Mississippi,Alcohol,Chronic liver disease mortality,437.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2015,MS,Mississippi,Alcohol,Chronic liver disease mortality,12.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2013,MS,Mississippi,Alcohol,Chronic liver disease mortality,327.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2016,MS,Mississippi,Alcohol,Chronic liver disease mortality,383.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2017,MS,Mississippi,Alcohol,Chronic liver disease mortality,14.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2013,MS,Mississippi,Alcohol,Chronic liver disease mortality,10.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2014,MS,Mississippi,Alcohol,Chronic liver disease mortality,347.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2015,MS,Mississippi,Alcohol,Chronic liver disease mortality,11.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2016,MS,Mississippi,Alcohol,Chronic liver disease mortality,11.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2013,MS,Mississippi,Alcohol,Chronic liver disease mortality,9.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2017,MS,Mississippi,Alcohol,Chronic liver disease mortality,12.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2017,MT,Montana,Alcohol,Chronic liver disease mortality,195.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2015,MT,Montana,Alcohol,Chronic liver disease mortality,17.3,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2016,MT,Montana,Alcohol,Chronic liver disease mortality,160.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2013,MT,Montana,Alcohol,Chronic liver disease mortality,150.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2017,MT,Montana,Alcohol,Chronic liver disease mortality,18.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2014,MT,Montana,Alcohol,Chronic liver disease mortality,12.2,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2015,MT,Montana,Alcohol,Chronic liver disease mortality,15.7,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2013,MT,Montana,Alcohol,Chronic liver disease mortality,14.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2016,MT,Montana,Alcohol,Chronic liver disease mortality,13.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2013,MT,Montana,Alcohol,Chronic liver disease mortality,13.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2014,MT,Montana,Alcohol,Chronic liver disease mortality,14.7,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2017,MT,Montana,Alcohol,Chronic liver disease mortality,16.1,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2015,MT,Montana,Alcohol,Chronic liver disease mortality,179.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2014,MT,Montana,Alcohol,Chronic liver disease mortality,150.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2016,MT,Montana,Alcohol,Chronic liver disease mortality,15.3,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2013,WA,Washington,Alcohol,Chronic liver disease mortality,12.2,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2015,WA,Washington,Alcohol,Chronic liver disease mortality,1024.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2016,WA,Washington,Alcohol,Chronic liver disease mortality,926.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2015,WA,Washington,Alcohol,Chronic liver disease mortality,12.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2017,WA,Washington,Alcohol,Chronic liver disease mortality,13.3,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2014,WA,Washington,Alcohol,Chronic liver disease mortality,12.8,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2015,WA,Washington,Alcohol,Chronic liver disease mortality,14.3,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2014,WA,Washington,Alcohol,Chronic liver disease mortality,11.1,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2016,WA,Washington,Alcohol,Chronic liver disease mortality,12.7,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2013,WA,Washington,Alcohol,Chronic liver disease mortality,966.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2014,WA,Washington,Alcohol,Chronic liver disease mortality,901.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2017,WA,Washington,Alcohol,Chronic liver disease mortality,982.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2013,WA,Washington,Alcohol,Chronic liver disease mortality,13.9,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2016,WA,Washington,Alcohol,Chronic liver disease mortality,11.1,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2017,WA,Washington,Alcohol,Chronic liver disease mortality,11.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2016,TN,Tennessee,Alcohol,Chronic liver disease mortality,960.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2016,TN,Tennessee,Alcohol,Chronic liver disease mortality,14.4,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2014,TN,Tennessee,Alcohol,Chronic liver disease mortality,12.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",low
2017,TN,Tennessee,Alcohol,Chronic liver disease mortality,12.8,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2013,TN,Tennessee,Alcohol,Chronic liver disease mortality,11.6,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",low
2013,TN,Tennessee,Alcohol,Chronic liver disease mortality,13.3,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2015,TN,Tennessee,Alcohol,Chronic liver disease mortality,12.2,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2016,TN,Tennessee,Alcohol,Chronic liver disease mortality,12.2,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2014,TN,Tennessee,Alcohol,Chronic liver disease mortality,917.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2017,TN,Tennessee,Alcohol,Chronic liver disease mortality,15.5,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",high
2015,TN,Tennessee,Alcohol,Chronic liver disease mortality,957.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,TN,Tennessee,Alcohol,Chronic liver disease mortality,14.5,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2017,TN,Tennessee,Alcohol,Chronic liver disease mortality,1038.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2013,TN,Tennessee,Alcohol,Chronic liver disease mortality,867.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2014,TN,Tennessee,Alcohol,Chronic liver disease mortality,14.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2016,LA,Louisiana,Alcohol,Chronic liver disease mortality,519.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
2017,LA,Louisiana,Alcohol,Chronic liver disease mortality,543.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
2015,LA,Louisiana,Alcohol,Chronic liver disease mortality,10.5,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",low
