Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2016,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,8.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2014,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,7.4,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2013,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,8.2,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2014,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,7.5,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2013,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,8.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2015,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,7.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2017,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,8.3,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2015,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,7.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2017,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,8.3,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",low
2016,MS,Mississippi,Asthma,Current asthma prevalence among adults aged >= 18 years,7.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very low
2013,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,8.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2014,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,9.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2014,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,9.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2016,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,8.5,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2017,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,9.2,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2015,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,9.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2013,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,8.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2015,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,8.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2017,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,9.1,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2016,MT,Montana,Asthma,Current asthma prevalence among adults aged >= 18 years,8.4,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2015,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2014,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.3,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2013,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.8,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",high
2017,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,10.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",high
2013,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.9,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",high
2015,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.3,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2016,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2017,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,10.7,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2016,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2014,WA,Washington,Asthma,Current asthma prevalence among adults aged >= 18 years,9.2,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2017,TN,Tennessee,Asthma,Current asthma prevalence among adults aged >= 18 years,10.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",high
2015,TN,Tennessee,Asthma,Current asthma prevalence among adults aged >= 18 years,9.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
