Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2014,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",6525.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2014,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",218.4,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2015,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",6535.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2013,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",190.2,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2014,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",186.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2015,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",183.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2013,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",218.4,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2015,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",219.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2013,MS,Mississippi,Cancer,"Invasive cancer (all sites combined), mortality",6528.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2014,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",2082.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2015,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",148.2,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2013,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",201.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2013,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",154.3,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2014,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",151.3,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2015,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",2089.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2014,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",199.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2015,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",198.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2013,MT,Montana,Cancer,"Invasive cancer (all sites combined), mortality",2074.0,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
2015,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",12739.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2013,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",12416.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2014,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",12588.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very high
2013,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",172.9,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2014,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",172.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2015,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",149.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2013,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",154.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2014,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",152.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2015,WA,Washington,Cancer,"Invasive cancer (all sites combined), mortality",172.1,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2013,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",215.5,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",high
2014,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",177.4,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",low
2015,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",14298.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2013,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",181.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2014,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",214.3,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2015,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",213.1,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",middle
2014,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",14256.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",173.9,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",low
2013,TN,Tennessee,Cancer,"Invasive cancer (all sites combined), mortality",14218.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",9385.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
2015,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",201.2,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",middle
2013,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",9386.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
2014,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",9379.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
2014,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",176.1,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",low
2013,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",201.6,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",middle
2015,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",172.5,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",low
2014,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",201.1,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",middle
2013,LA,Louisiana,Cancer,"Invasive cancer (all sites combined), mortality",180.0,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",middle
2014,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",191.0,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",middle
2013,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",162.2,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",low
2015,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",158.3,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",low
2013,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",189.7,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",middle
2013,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",5509.0,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",high
2015,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",191.1,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",middle
2015,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",5561.0,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",high
2014,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",5555.0,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",high
2014,KS,Kansas,Cancer,"Invasive cancer (all sites combined), mortality",160.9,38.454303,-96.536052,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}",low
2015,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",160.2,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",low
2014,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",28456.0,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",very high
2013,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",223.4,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",high
2014,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",222.5,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",high
2015,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",221.0,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",high
2013,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",28554.0,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",very high
2014,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",163.5,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",low
2013,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",166.3,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",low
2015,PA,Pennsylvania,Cancer,"Invasive cancer (all sites combined), mortality",28268.0,40.463528,-77.075925,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}",very high
2015,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",1298.0,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",high
2014,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",147.1,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",very low
2013,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",173.1,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",low
2013,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",1289.0,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",high
2015,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",171.5,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",low
2013,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",148.1,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",very low
2014,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",172.3,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",low
2015,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",144.7,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",very low
2014,ND,North Dakota,Cancer,"Invasive cancer (all sites combined), mortality",1295.0,47.375168,-99.334736,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}",high
2014,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",178.2,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",middle
2015,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",147.0,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very low
2013,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",178.3,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",middle
2014,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",9847.0,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very high
2013,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",151.7,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very low
2015,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",9926.0,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very high
2014,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",149.2,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very low
2015,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",178.4,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",middle
2013,MN,Minnesota,Cancer,"Invasive cancer (all sites combined), mortality",9786.0,45.210782,-93.583003,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}",very high
2015,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",149.7,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",very low
2013,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",171.9,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",low
2013,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",155.0,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",very low
2014,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",153.5,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",very low
2015,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",2946.0,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",high
2014,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",173.1,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",low
2015,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",171.5,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",low
2013,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",2851.0,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",high
2014,ID,Idaho,Cancer,"Invasive cancer (all sites combined), mortality",2919.0,44.242605,-115.133222,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}",high
