Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2017,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,36.5,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2015,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,33.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2013,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,41.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2013,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,36.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2017,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,33.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2015,MS,Mississippi,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,38.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2013,MT,Montana,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,28.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2017,MT,Montana,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,22.2,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2015,MT,Montana,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,33.1,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",middle
2015,MT,Montana,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,26.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2013,MT,Montana,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,35.7,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",high
