Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2013,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2017,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,3.3,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2015,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2017,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,3.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2014,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",high
2015,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2016,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,4.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2014,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
2016,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,3.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2013,MS,Mississippi,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,2.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",middle
