Year,LocationAbbr,LocationDesc,Topic,Question,DataValue,Latitude,Longitude,Centroid,Category
2013,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2014,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2015,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.8,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2017,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.0,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2016,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2014,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.1,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2016,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.6,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2013,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.9,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2015,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.7,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2017,MS,Mississippi,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,14.2,32.56642,-89.593164,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}",very high
2017,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2015,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2013,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.7,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2016,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.1,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2014,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",low
2015,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2017,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.7,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2013,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.8,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2016,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,6.9,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2014,MT,Montana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.6,46.813302,-111.209708,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}",very low
2017,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2017,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.2,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2013,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.0,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2015,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,7.7,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2014,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.2,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",very low
2015,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2016,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2013,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.6,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2016,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",middle
2014,WA,Washington,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.9,47.341728,-121.624501,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}",low
2017,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.7,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.5,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2013,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.2,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",high
2016,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.7,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2014,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.0,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2014,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.9,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.7,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2017,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,13.1,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2016,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,11.3,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2013,TN,Tennessee,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.2,35.795862,-86.397772,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}",very high
2015,LA,Louisiana,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,12.7,30.69927,-91.457133,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}",very high
