Year,LocationAbbr,Centroid,Topic
2013,AK,"{""type"":""Point"", ""coordinates"":[-148.716968,61.288254]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,AL,"{""type"":""Point"", ""coordinates"":[-86.766233,33.001471]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,AR,"{""type"":""Point"", ""coordinates"":[-92.576816,35.080251]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,AZ,"{""type"":""Point"", ""coordinates"":[-111.828711,33.373506]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,CA,"{""type"":""Point"", ""coordinates"":[-119.355165,35.458606]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2013,CO,"{""type"":""Point"", ""coordinates"":[-105.203628,39.500656]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,CT,"{""type"":""Point"", ""coordinates"":[-72.874365,41.494852]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2013,DC,"{""type"":""Point"", ""coordinates"":[-77.014001,38.910092]}","['Alcohol', 'Asthma', 'Cancer']"
2013,DE,"{""type"":""Point"", ""coordinates"":[-75.561908,39.397164]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2013,FL,"{""type"":""Point"", ""coordinates"":[-81.634622,27.79585]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,GA,"{""type"":""Point"", ""coordinates"":[-83.868887,33.332208]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2013,HI,"{""type"":""Point"", ""coordinates"":[-157.524452,21.146768]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2013,IA,"{""type"":""Point"", ""coordinates"":[-93.049161,41.960392]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,ID,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,IL,"{""type"":""Point"", ""coordinates"":[-88.380238,41.278216]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,IN,"{""type"":""Point"", ""coordinates"":[-86.261515,40.163935]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,KS,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,KY,"{""type"":""Point"", ""coordinates"":[-85.241819,37.808159]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,LA,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,MA,"{""type"":""Point"", ""coordinates"":[-71.363628,42.271831]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2013,MD,"{""type"":""Point"", ""coordinates"":[-76.797396,39.145653]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,ME,"{""type"":""Point"", ""coordinates"":[-69.719931,44.313614]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2013,MI,"{""type"":""Point"", ""coordinates"":[-84.170753,42.866412]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,MN,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}","['Alcohol', 'Cancer']"
2013,MO,"{""type"":""Point"", ""coordinates"":[-92.15377,38.437715]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2013,MS,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,MT,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,NC,"{""type"":""Point"", ""coordinates"":[-79.667654,35.553334]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,ND,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease']"
2013,NE,"{""type"":""Point"", ""coordinates"":[-97.403875,41.183753]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,NH,"{""type"":""Point"", ""coordinates"":[-71.463342,43.153046]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2013,NJ,"{""type"":""Point"", ""coordinates"":[-74.428055,40.438458]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,NM,"{""type"":""Point"", ""coordinates"":[-106.342108,34.623012]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Diabetes']"
2013,NV,"{""type"":""Point"", ""coordinates"":[-116.304648,37.165965]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease']"
2013,NY,"{""type"":""Point"", ""coordinates"":[-74.645228,41.507548]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Diabetes']"
2013,OH,"{""type"":""Point"", ""coordinates"":[-82.749366,40.480854]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,OK,"{""type"":""Point"", ""coordinates"":[-96.834653,35.59794]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,OR,"{""type"":""Point"", ""coordinates"":[-122.579524,44.732273]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2013,PA,"{""type"":""Point"", ""coordinates"":[-77.075925,40.463528]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,RI,"{""type"":""Point"", ""coordinates"":[-71.448902,41.753318]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2013,SC,"{""type"":""Point"", ""coordinates"":[-81.032387,34.034551]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,SD,"{""type"":""Point"", ""coordinates"":[-99.043799,44.047502]}","['Alcohol', 'Cancer', 'Cardiovascular Disease']"
2013,TN,"{""type"":""Point"", ""coordinates"":[-86.397772,35.795862]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,TX,"{""type"":""Point"", ""coordinates"":[-97.388631,30.943149]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Diabetes']"
2013,UT,"{""type"":""Point"", ""coordinates"":[-111.90016,40.438987]}","['Alcohol', 'Cancer', 'Chronic Kidney Disease']"
2013,VA,"{""type"":""Point"", ""coordinates"":[-77.835857,37.750345]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease']"
2013,VT,"{""type"":""Point"", ""coordinates"":[-72.814309,44.081127]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2013,WA,"{""type"":""Point"", ""coordinates"":[-121.624501,47.341728]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease']"
2013,WI,"{""type"":""Point"", ""coordinates"":[-89.001006,43.728544]}","['Alcohol', 'Asthma', 'Cancer', 'Cardiovascular Disease']"
2013,WV,"{""type"":""Point"", ""coordinates"":[-80.820221,38.767195]}","['Alcohol', 'Arthritis', 'Cancer', 'Cardiovascular Disease', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2013,WY,"{""type"":""Point"", ""coordinates"":[-107.008835,42.675762]}","['Alcohol', 'Cancer', 'Cardiovascular Disease', 'Chronic Obstructive Pulmonary Disease']"
2014,AK,"{""type"":""Point"", ""coordinates"":[-148.716968,61.288254]}","['Alcohol', 'Cancer']"
2014,AL,"{""type"":""Point"", ""coordinates"":[-86.766233,33.001471]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,AR,"{""type"":""Point"", ""coordinates"":[-92.576816,35.080251]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,AZ,"{""type"":""Point"", ""coordinates"":[-111.828711,33.373506]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease']"
2014,CA,"{""type"":""Point"", ""coordinates"":[-119.355165,35.458606]}","['Alcohol', 'Arthritis', 'Cancer', 'Diabetes']"
2014,CO,"{""type"":""Point"", ""coordinates"":[-105.203628,39.500656]}","['Alcohol', 'Cancer']"
2014,CT,"{""type"":""Point"", ""coordinates"":[-72.874365,41.494852]}","['Alcohol', 'Cancer']"
2014,DC,"{""type"":""Point"", ""coordinates"":[-77.014001,38.910092]}","['Alcohol', 'Asthma', 'Cancer']"
2014,DE,"{""type"":""Point"", ""coordinates"":[-75.561908,39.397164]}","['Alcohol', 'Cancer', 'Chronic Kidney Disease', 'Diabetes']"
2014,FL,"{""type"":""Point"", ""coordinates"":[-81.634622,27.79585]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,GA,"{""type"":""Point"", ""coordinates"":[-83.868887,33.332208]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,HI,"{""type"":""Point"", ""coordinates"":[-157.524452,21.146768]}","['Alcohol', 'Cancer', 'Chronic Kidney Disease']"
2014,IA,"{""type"":""Point"", ""coordinates"":[-93.049161,41.960392]}","['Alcohol', 'Cancer']"
2014,ID,"{""type"":""Point"", ""coordinates"":[-115.133222,44.242605]}","['Alcohol', 'Cancer']"
2014,IL,"{""type"":""Point"", ""coordinates"":[-88.380238,41.278216]}","['Alcohol', 'Cancer', 'Diabetes']"
2014,IN,"{""type"":""Point"", ""coordinates"":[-86.261515,40.163935]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,KS,"{""type"":""Point"", ""coordinates"":[-96.536052,38.454303]}","['Alcohol', 'Cancer', 'Diabetes']"
2014,KY,"{""type"":""Point"", ""coordinates"":[-85.241819,37.808159]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,LA,"{""type"":""Point"", ""coordinates"":[-91.457133,30.69927]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,MA,"{""type"":""Point"", ""coordinates"":[-71.363628,42.271831]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Kidney Disease']"
2014,MD,"{""type"":""Point"", ""coordinates"":[-76.797396,39.145653]}","['Alcohol', 'Cancer', 'Chronic Kidney Disease', 'Diabetes']"
2014,ME,"{""type"":""Point"", ""coordinates"":[-69.719931,44.313614]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease']"
2014,MI,"{""type"":""Point"", ""coordinates"":[-84.170753,42.866412]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,MN,"{""type"":""Point"", ""coordinates"":[-93.583003,45.210782]}","['Alcohol', 'Cancer']"
2014,MO,"{""type"":""Point"", ""coordinates"":[-92.15377,38.437715]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,MS,"{""type"":""Point"", ""coordinates"":[-89.593164,32.56642]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,MT,"{""type"":""Point"", ""coordinates"":[-111.209708,46.813302]}","['Alcohol', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease']"
2014,NC,"{""type"":""Point"", ""coordinates"":[-79.667654,35.553334]}","['Alcohol', 'Arthritis', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,ND,"{""type"":""Point"", ""coordinates"":[-99.334736,47.375168]}","['Alcohol', 'Cancer']"
2014,NE,"{""type"":""Point"", ""coordinates"":[-97.403875,41.183753]}","['Alcohol', 'Cancer']"
2014,NH,"{""type"":""Point"", ""coordinates"":[-71.463342,43.153046]}","['Alcohol', 'Asthma', 'Cancer']"
2014,NJ,"{""type"":""Point"", ""coordinates"":[-74.428055,40.438458]}","['Alcohol', 'Cancer']"
2014,NM,"{""type"":""Point"", ""coordinates"":[-106.342108,34.623012]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Diabetes']"
2014,NV,"{""type"":""Point"", ""coordinates"":[-116.304648,37.165965]}","['Alcohol', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease']"
2014,NY,"{""type"":""Point"", ""coordinates"":[-74.645228,41.507548]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer']"
2014,OH,"{""type"":""Point"", ""coordinates"":[-82.749366,40.480854]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Kidney Disease', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
2014,OK,"{""type"":""Point"", ""coordinates"":[-96.834653,35.59794]}","['Alcohol', 'Arthritis', 'Asthma', 'Cancer', 'Chronic Obstructive Pulmonary Disease', 'Diabetes']"
