2. TRIFD,34. CHEMICAL
00602BXTRHRD115,['Methanol']
00603HWLTTSTATE,"['Copper compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00605BRNQNPR467,['Phosphoric acid']
00605VNMRBMONTA,"['Copper', 'Copper compounds', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nickel compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00607WSTNGRD174,['Copper']
00608DCRBNRD3KM,"['Dichloromethane', 'Styrene']"
00610BXTRHROAD4,"['Di(2-ethylhexyl) phthalate', 'Dichloromethane', 'Ethylene glycol', 'Ethylene oxide', 'Freon 113 (CFC-113)']"
00610CRBGNCARR4,['Copper']
00610DWRDSROAD4,['Freon 113 (CFC-113)']
00610LLRGNGPOBO,['Freon 113 (CFC-113)']
00612THRMKZENOG,"['1,1,1-Trichloroethane', 'Chlorodifluoromethane (HCFC-22)', 'Copper', 'Ethylene glycol', 'Monochloropentafluoroethane (CFC-115)', 'Xylene (mixed isomers)']"
00613CRBGPZENOG,"['1,1,1-Trichloroethane', 'Copper', 'Cyanide compounds', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nickel compounds', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
00613KYSRRZENOG,['Ammonium sulfate (solution)']
00613RSTNDROUTE,"['Aluminum oxide (fibrous forms)', 'Antimony compounds', 'Cadmium compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Dichloromethane', 'Lead compounds', 'Methyl methacrylate', 'Phenol', 'Styrene', 'Zinc compounds']"
